ticket,symbol,type,lots,open_price,close_price,profit,close_time
163476170,USDCNH,5,0.01,7.13808,7.13865,0.0,1760137061
163476053,GBPCHF,5,0.01,1.06872,1.06935,0.0,1760137059
163476087,USDSGD,5,0.01,1.29662,1.29711,0.0,1760137058
163476051,EURGBP,5,0.01,0.8683,0.86973,0.0,1760137057
163476045,USDHUF,4,0.01,338.449,337.98,0.0,1760137055
163476025,CHFJPY,4,0.01,189.52,189.259,0.0,1760137053
163476019,GBPUSD,5,0.01,1.33346,1.33521,0.0,1760137048
163476017,NZDCHF,5,0.01,0.4575,0.45832,0.0,1760137048
163476016,SGDCHF,5,0.01,0.61656,0.61739,0.0,1760137048
163476012,USDCHF,5,0.01,0.80058,0.80091,0.0,1760137047
