,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,0.52139,0.52217,34.44276,-0.00078,0.0,0.0,0.0,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760427550.78,547.2,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760427603.23,484.0,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760427640.32,694.7,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760427688.27,884.5,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760427755.8,709.7,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760427793.8,662.7,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760427817.41,1012.9,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760427862.55,1108.7,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760427910.93,1679.2,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760428050.42,1214.7,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760428124.86,167.6,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760428143.72,232.0,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760428167.06,289.7,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760428187.17,236.3,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760428218.3,406.7,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760428260.69,492.5,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760428307.54,522.1,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760428358.86,471.6,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760428412.11,562.6,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760428472.02,972.2,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760428556.44,1160.1,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760428652.7,991.3,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760428714.77,256.5,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760429195.04,214.4,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760429216.55,703.1,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760429250.01,481.5,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760429297.99,182.2,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760429317.1,192.6,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760429346.36,283.0,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760429658.52,858.9,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760429679.33,1223.5,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760429708.29,195.3,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760429730.81,281.7,0.0
ok,signal_response,AUDCHF,SELL,0.95,0.05,1760429783.51,749.0,0.0
