,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,5.03894,5.04996,26.03745,-0.01102,0.0,0.0,0.0,0.0
ok,signal_response,AUDHKD,SELL,0.9365,0.0635,1760427551.4,545.2,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760427603.87,523.5,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760427641.07,663.5,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760427689.58,1133.2,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760427756.82,804.5,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760427795.0,1041.4,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760427818.33,714.2,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760427863.89,1208.1,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760427913.06,1836.6,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760428054.79,3828.3,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760428125.05,166.9,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760428144.03,278.7,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760428167.33,214.5,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760428187.52,286.6,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760428218.78,435.0,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760428261.17,395.9,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760428308.15,529.9,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760428359.57,618.6,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760428412.73,527.5,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760428472.96,790.4,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760428558.26,1609.8,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760428654.02,1205.9,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760428715.08,282.6,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760429195.28,221.9,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760429217.15,562.3,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760429250.5,413.5,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760429298.19,175.3,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760429317.36,219.3,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760429346.68,281.1,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760429658.83,285.3,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760429679.7,330.5,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760429708.55,225.6,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760429731.12,248.6,0.0
ok,signal_response,AUDHKD,SELL,0.95,0.05,1760429785.32,1728.2,0.0
