,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,95.37065,95.54925,33.4147,-0.1786,0.0,0.0,0.0,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760427552.03,497.5,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760427604.63,606.9,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760427642.03,846.0,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760427691.3,1562.9,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760427757.75,699.2,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760427796.37,1136.6,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760427819.34,842.5,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760427865.34,1174.0,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760427914.93,1509.1,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760428058.57,3270.2,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760428125.24,174.2,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760428144.34,266.6,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760428167.58,210.8,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760428187.82,269.4,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760428219.39,523.4,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760428263.48,2218.9,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760428308.79,578.9,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760428360.17,499.8,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760428413.24,449.9,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760428474.05,917.6,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760428559.44,1013.9,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760428655.0,806.2,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760428715.29,192.2,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760429195.51,213.6,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760429217.5,310.3,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760429250.93,370.3,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760429298.38,167.0,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760429317.59,196.3,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760429347.02,298.0,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760429659.03,177.7,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760429679.96,239.4,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760429708.79,210.6,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760429731.42,251.4,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760429786.37,631.3,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760429840.49,415.1,0.0
ok,signal_response,AUDJPY,BUY,0.95,0.95,1760429885.56,499.5,0.0
