,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,1.09467,1.09504,43.08457,-0.00037,0.0,0.0,0.0,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760427552.62,452.1,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760427605.33,606.4,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760427642.64,507.2,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760427692.81,1356.8,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760427758.56,687.8,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760427797.48,1003.2,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760427820.3,785.7,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760427866.55,1073.3,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760427917.31,2025.1,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760428061.54,1619.9,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760428125.43,173.4,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760428144.65,267.3,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760428167.86,220.5,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760428188.13,250.6,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760428220.36,899.4,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760428265.99,2330.9,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760428309.37,488.9,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760428360.74,454.4,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760428413.93,567.3,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760428475.46,1271.1,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760428561.05,1473.3,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760428656.03,861.1,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760428715.76,407.7,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760429195.82,279.6,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760429217.86,323.6,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760429251.39,337.0,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760429298.57,168.6,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760429317.83,204.7,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760429347.35,277.8,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760429659.19,145.1,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760429680.23,246.4,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760429709.06,227.5,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760429731.7,239.8,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760429786.84,360.0,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760429841.03,462.3,0.0
ok,signal_response,AUDNZD,SELL,0.95,0.05,1760429886.13,494.9,0.0
