,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,0.82976,0.83098,30.82935,-0.00122,0.0,0.0,0.0,0.0
ok,signal_response,AUDSGD,SELL,0.9459,0.0541,1760427553.18,463.8,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760427606.08,631.7,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760427643.47,596.3,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760427694.73,1699.4,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760427759.47,779.4,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760427798.39,830.1,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760427821.34,894.5,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760427867.95,1146.8,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760427920.61,3103.8,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760428062.94,1100.9,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760428125.62,165.9,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760428144.94,255.4,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760428168.19,277.4,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760428188.46,282.3,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760428221.29,753.2,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760428266.65,447.5,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760428310.06,618.6,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760428361.41,573.7,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760428414.72,674.4,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760428476.42,849.5,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760428562.17,898.0,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760428657.11,933.4,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760428716.12,343.0,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760429174.98,248.1,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760429196.06,224.2,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760429218.24,339.5,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760429251.84,382.3,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760429298.92,167.4,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760429318.09,211.4,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760429347.63,227.2,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760429659.37,171.9,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760429680.5,244.4,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760429709.36,261.6,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760429731.99,261.2,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760429787.49,352.8,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760429841.55,472.3,0.0
ok,signal_response,AUDSGD,SELL,0.95,0.05,1760429886.59,378.8,0.0
