,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,0.64605,0.64717,29.17354,-0.00112,0.0,0.0,0.0,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760427553.93,630.1,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760427606.79,623.3,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760427644.16,578.4,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760427696.34,1330.9,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760427760.44,846.6,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760427799.58,1068.3,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760427822.3,815.0,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760427869.16,1028.9,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760427923.24,2405.4,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760428064.31,999.1,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760428125.82,180.2,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760428145.22,246.9,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760428168.46,218.2,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760428188.83,282.7,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760428221.92,480.6,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760428267.36,541.9,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760428311.13,944.6,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760428362.05,546.0,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760428415.56,743.1,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760428477.54,757.6,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760428563.03,743.5,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760428658.14,840.1,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760428716.47,317.8,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760429175.4,98.2,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760429196.32,228.4,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760429218.59,320.1,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760429252.23,330.0,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760429299.13,183.5,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760429318.35,232.6,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760429347.99,313.4,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760429659.5,108.5,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760429680.85,325.0,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760429709.57,188.4,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760429732.24,197.2,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760429788.19,606.0,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760429842.13,532.5,0.0
ok,signal_response,AUDUSD,SELL,0.95,0.05,1760429887.04,398.7,0.0
