,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,0.58241,0.58292,41.58575,-0.00051,0.0,0.0,0.0,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760427554.6,552.9,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760427607.39,541.5,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760427645.22,941.1,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760427697.36,921.9,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760427761.29,650.1,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760427800.69,953.5,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760427823.35,857.8,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760427870.33,999.2,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760427925.53,1891.3,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760428066.28,1638.0,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760428126.02,177.7,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760428145.5,244.9,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760428168.75,246.4,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760428189.18,257.0,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760428222.35,367.8,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760428268.04,486.4,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760428311.78,565.1,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760428362.79,599.3,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760428416.32,645.0,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760428478.47,795.0,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760428564.14,966.4,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760428659.21,891.1,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760428716.81,319.1,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760429175.58,126.5,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760429196.54,196.5,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760429218.99,348.9,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760429252.56,288.7,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760429299.33,178.4,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760429318.59,200.6,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760429348.37,343.7,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760429659.67,157.7,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760429681.25,374.9,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760429709.82,206.5,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760429732.47,197.6,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760429788.86,335.9,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760429842.98,774.7,0.0
ok,signal_response,CADCHF,SELL,0.95,0.05,1760429887.53,418.9,0.0
