,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,5.62889,5.63773,27.55649,-0.00884,0.0,0.0,0.0,0.0
ok,signal_response,CADHKD,SELL,0.95,0.05,1760427555.27,531.5,0.0
ok,signal_response,CADHKD,SELL,0.8889,0.1111,1760427608.14,613.2,0.0
ok,signal_response,CADHKD,SELL,0.8787,0.1213,1760427646.39,980.1,0.0
ok,signal_response,CADHKD,SELL,0.8787,0.1213,1760427698.11,564.2,0.0
ok,signal_response,CADHKD,SELL,0.8789,0.1211,1760427762.29,879.8,0.0
ok,signal_response,CADHKD,SELL,0.8755,0.1245,1760427801.57,753.3,0.0
ok,signal_response,CADHKD,SELL,0.8661,0.1339,1760427824.47,946.3,0.0
ok,signal_response,CADHKD,SELL,0.8661,0.1339,1760427871.44,1008.6,0.0
ok,signal_response,CADHKD,SELL,0.8661,0.1339,1760427927.31,1472.6,0.0
ok,signal_response,CADHKD,SELL,0.8927,0.1073,1760428067.53,963.4,0.0
ok,signal_response,CADHKD,SELL,0.8778,0.1222,1760428126.23,182.9,0.0
ok,signal_response,CADHKD,SELL,0.8818,0.1182,1760428145.76,222.5,0.0
ok,signal_response,CADHKD,SELL,0.8772,0.1228,1760428169.04,253.9,0.0
ok,signal_response,CADHKD,SELL,0.8808,0.1192,1760428189.51,264.4,0.0
ok,signal_response,CADHKD,SELL,0.8835,0.1165,1760428222.87,451.5,0.0
ok,signal_response,CADHKD,SELL,0.8757,0.1243,1760428269.75,1265.9,0.0
ok,signal_response,CADHKD,SELL,0.8869,0.1131,1760428312.38,515.2,0.0
ok,signal_response,CADHKD,SELL,0.9032,0.0968,1760428363.42,539.9,0.0
ok,signal_response,CADHKD,SELL,0.9006,0.0994,1760428416.94,541.3,0.0
ok,signal_response,CADHKD,SELL,0.8927,0.1073,1760428479.35,680.5,0.0
ok,signal_response,CADHKD,SELL,0.884,0.116,1760428565.17,892.1,0.0
ok,signal_response,CADHKD,SELL,0.8728,0.1272,1760428660.24,793.7,0.0
ok,signal_response,CADHKD,SELL,0.8717,0.1283,1760428717.16,328.4,0.0
ok,signal_response,CADHKD,SELL,0.95,0.05,1760429175.76,102.6,0.0
ok,signal_response,CADHKD,SELL,0.95,0.05,1760429196.76,207.0,0.0
ok,signal_response,CADHKD,SELL,0.95,0.05,1760429219.45,356.7,0.0
ok,signal_response,CADHKD,SELL,0.95,0.05,1760429253.03,413.7,0.0
ok,signal_response,CADHKD,SELL,0.95,0.05,1760429299.54,197.1,0.0
ok,signal_response,CADHKD,SELL,0.95,0.05,1760429318.81,171.8,0.0
ok,signal_response,CADHKD,SELL,0.95,0.05,1760429348.75,322.1,0.0
ok,signal_response,CADHKD,SELL,0.95,0.05,1760429659.8,119.5,0.0
ok,signal_response,CADHKD,SELL,0.95,0.05,1760429681.74,417.7,0.0
ok,signal_response,CADHKD,SELL,0.95,0.05,1760429710.04,189.3,0.0
ok,signal_response,CADHKD,SELL,0.95,0.05,1760429732.75,252.3,0.0
ok,signal_response,CADHKD,SELL,0.95,0.05,1760429789.18,268.5,0.0
