,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,106.52817,106.66211,34.1787,-0.13394,0.0,0.0,0.0,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760427556.05,629.5,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760427608.74,494.9,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760427647.39,868.3,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760427698.93,694.8,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760427763.13,736.8,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760427802.55,781.6,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760427825.4,775.4,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760427872.62,987.5,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760427929.65,2042.3,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760428068.97,1176.6,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760428126.41,164.1,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760428146.04,250.9,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760428169.37,271.1,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760428189.8,262.1,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760428223.63,548.2,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760428270.4,571.2,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760428312.92,491.3,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760428363.96,433.2,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760428417.63,583.4,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760428480.09,619.6,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760428566.22,820.7,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760428661.37,1044.3,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760428717.55,363.7,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760429176.0,104.4,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760429197.0,207.9,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760429220.62,1100.3,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760429253.37,300.6,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760429299.75,180.8,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760429319.02,180.5,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760429349.21,416.3,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760429660.01,188.5,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760429682.08,309.6,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760429710.33,247.2,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760429733.07,272.1,0.0
ok,signal_response,CADJPY,BUY,0.95,0.95,1760429789.58,303.6,0.0
