,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,0.92703,0.92782,35.98195,-0.00079,0.0,0.0,0.0,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760427556.94,709.7,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760427609.45,579.1,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760427648.4,898.8,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760427699.83,672.6,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760427763.96,693.4,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760427803.56,888.3,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760427826.58,1035.3,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760427873.69,884.8,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760427931.12,1156.4,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760428070.81,1182.2,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760428126.62,188.3,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760428146.25,185.3,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760428169.69,285.9,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760428190.09,238.8,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760428224.26,549.2,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760428271.11,596.1,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760428313.59,559.8,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760428364.64,523.9,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760428418.22,498.8,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760428480.99,801.8,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760428567.19,875.8,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760428662.61,962.7,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760428717.97,327.1,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760429176.19,121.0,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760429197.26,225.4,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760429222.34,1687.5,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760429253.79,351.4,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760429299.96,195.0,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760429319.26,195.5,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760429349.87,601.8,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760429660.26,233.9,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760429682.68,587.2,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760429710.69,304.8,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760429733.41,294.3,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760429789.99,353.5,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760429845.69,572.6,0.0
ok,signal_response,CADSGD,SELL,0.95,0.05,1760429891.53,1591.5,0.0
