,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,9.66052,9.6681,39.20967,-0.00758,0.0,0.0,0.0,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760427557.67,640.3,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760427610.13,579.5,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760427649.19,709.3,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760427700.64,712.9,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760427764.87,736.5,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760427804.64,937.7,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760427827.5,835.0,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760427874.73,803.2,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760427933.21,1712.6,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760428072.89,1647.6,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760428126.82,189.0,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760428146.51,229.4,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760428169.98,238.9,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760428190.41,258.2,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760428224.95,611.7,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760428271.69,511.4,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760428314.23,566.7,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760428365.29,528.4,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760428419.1,689.5,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760428481.75,610.0,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760428567.88,629.4,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760428663.62,907.2,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760428718.29,293.7,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760429176.42,116.1,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760429197.52,233.8,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760429223.98,1595.3,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760429254.21,350.3,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760429300.18,186.0,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760429319.5,204.6,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760429351.03,1085.3,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760429660.48,198.7,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760429683.98,1156.0,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760429710.97,230.0,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760429733.71,238.1,0.0
ok,signal_response,CHFHKD,SELL,0.95,0.05,1760429790.38,321.5,0.0
