,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,182.84534,182.92986,43.33022,-0.08452,0.0,0.0,0.0,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760427558.5,602.8,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760427610.81,544.9,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760427650.27,875.5,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760427702.31,1505.6,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760427766.07,1092.0,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760427805.83,1004.3,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760427828.69,1015.7,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760427875.79,934.1,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760427935.31,1814.7,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760428074.55,1080.9,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760428127.03,185.1,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760428146.78,230.7,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760428170.27,246.5,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760428190.77,314.1,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760428225.66,618.7,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760428272.19,445.7,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760428314.93,582.6,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760428365.92,516.1,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760428419.87,668.0,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760428482.7,759.9,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760428569.21,1187.7,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760428664.84,1067.8,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760428718.59,272.3,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760429176.9,323.7,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760429197.76,222.6,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760429224.3,278.1,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760429254.6,340.1,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760429300.41,200.6,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760429319.72,177.6,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760429351.52,439.8,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760429660.62,129.1,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760429685.42,1213.7,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760429711.25,235.2,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760429734.05,291.4,0.0
ok,signal_response,CHFJPY,BUY,0.95,0.95,1760429790.78,316.1,0.0
