,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,21.87949,21.86815,56.13838,0.01133,0.0,0.0,0.0,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760427559.26,620.7,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760427611.56,593.6,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760427651.23,852.5,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760427703.58,1129.9,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760427767.35,1140.4,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760427807.03,958.1,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760427829.8,955.1,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760427876.99,974.3,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760427937.49,1805.0,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760428076.33,1482.4,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760428127.23,171.8,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760428147.16,348.1,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760428170.53,215.0,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760428191.09,272.4,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760428226.23,491.9,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760428272.7,445.9,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760428316.35,1341.1,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760428366.7,695.3,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760428420.62,618.6,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760428483.49,668.0,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760428570.24,851.8,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760428666.21,1267.6,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760428718.91,288.4,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760429177.14,142.7,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760429198.02,223.5,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760429224.61,269.0,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760429254.96,327.8,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760429300.66,225.0,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760429319.92,174.5,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760429351.88,289.7,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760429660.79,145.8,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760429686.11,656.4,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760429711.54,233.5,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760429734.44,320.6,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760429791.19,334.5,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760429847.41,415.9,0.0
ok,signal_response,CHFZAR,SELL,0.95,0.05,1760429897.1,793.8,0.0
