,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,1.80352,1.80151,64.56683,0.00201,0.0,0.0,0.0,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760427560.01,630.6,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760427612.35,694.0,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760427652.19,844.0,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760427707.06,1695.3,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760427769.26,1764.1,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760427808.05,854.6,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760427830.81,927.9,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760427877.86,733.6,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760427939.54,1773.1,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760428077.94,1302.5,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760428127.43,169.8,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760428147.65,362.1,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760428170.88,305.9,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760428191.45,312.4,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760428226.8,487.6,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760428273.22,446.1,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760428317.15,672.9,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760428367.5,719.2,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760428421.3,593.8,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760428484.44,782.0,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760428571.46,1029.4,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760428667.58,1101.5,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760428719.24,295.9,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760429177.98,142.1,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760429198.26,224.6,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760429224.97,315.9,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760429255.32,287.1,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760429300.9,200.3,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760429320.16,200.6,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760429352.25,331.4,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760429660.93,129.9,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760429686.63,473.5,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760429711.8,226.8,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760429734.83,329.0,0.0
ok,signal_response,EURAUD,SELL,0.95,0.05,1760429791.55,292.5,0.0
