,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,1.61452,1.61372,55.99758,0.0008,0.0,0.0,0.0,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760427560.8,644.7,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760427613.04,595.8,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760427653.04,774.4,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760427708.47,1264.9,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760427770.77,1246.4,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760427808.9,721.9,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760427831.79,810.8,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760427878.49,531.1,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760427942.01,2061.6,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760428079.54,1289.8,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760428127.64,190.4,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760428148.04,339.9,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760428171.17,249.5,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760428191.77,275.4,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760428227.3,426.5,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760428273.78,466.2,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760428317.9,647.1,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760428368.25,683.2,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760428422.23,770.3,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760428485.48,821.5,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760428573.35,1703.8,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760428668.66,914.1,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760428719.74,478.3,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760429178.25,138.1,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760429198.51,228.8,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760429225.29,280.6,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760429255.68,310.5,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760429301.13,208.9,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760429320.39,192.8,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760429352.55,248.4,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760429661.06,118.9,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760429687.32,669.7,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760429712.13,291.8,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760429735.24,350.7,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760429793.31,1716.7,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760429848.79,671.0,0.0
ok,signal_response,EURCAD,SELL,0.95,0.05,1760429900.24,1599.8,0.0
