,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,0.9406,0.94091,44.25496,-0.00031,0.0,0.0,0.0,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760427561.58,656.4,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760427613.83,689.1,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760427654.12,971.4,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760427710.75,2088.9,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760427772.25,1273.9,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760427809.92,889.5,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760427832.94,910.3,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760427879.09,457.7,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760427944.88,2608.4,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760428080.77,919.8,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760428127.83,170.0,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760428148.45,319.7,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760428171.4,184.3,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760428192.12,286.0,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760428227.84,475.0,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760428274.36,517.1,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760428318.72,733.3,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760428368.84,523.8,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760428423.08,653.8,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760428486.37,626.0,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760428574.22,643.0,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760428670.25,1341.2,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760428720.1,339.0,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760429178.53,169.2,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760429198.82,285.4,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760429225.63,289.8,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760429256.14,411.0,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760429301.36,201.3,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760429320.61,182.9,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760429352.91,328.6,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760429661.21,131.7,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760429687.97,552.0,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760429712.45,275.6,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760429735.95,646.0,0.0
ok,signal_response,EURCHF,SELL,0.95,0.05,1760429794.35,969.0,0.0
