,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,24.45357,24.45589,49.94716,-0.00232,0.0,0.0,0.0,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760427562.42,650.5,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760427614.74,739.0,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760427655.1,884.9,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760427711.9,1027.1,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760427773.51,1005.8,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760427834.3,1187.9,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760427880.14,853.5,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760427946.97,1850.0,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760428082.16,966.5,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760428128.06,192.2,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760428148.86,316.6,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760428171.68,228.4,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760428192.53,370.5,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760428228.45,506.8,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760428274.98,492.7,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760428319.65,786.0,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760428369.6,608.3,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760428423.85,630.6,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760428487.05,519.9,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760428578.5,4129.9,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760428671.69,1252.8,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760428720.5,378.0,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760429178.73,126.1,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760429199.17,317.4,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760429227.37,1692.5,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760429256.61,412.7,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760429301.58,195.3,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760429320.87,218.3,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760429353.34,362.8,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760429661.36,137.3,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760429688.77,775.7,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760429712.64,173.5,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760429736.46,480.0,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760429795.49,1048.4,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760429852.35,2871.3,0.0
ok,signal_response,EURCZK,SELL,0.95,0.05,1760429902.48,851.2,0.0
