,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,7.46387,7.46377,46.98854,0.0001,0.0,0.0,0.0,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760427563.46,809.1,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760427615.55,756.0,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760427656.07,871.3,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760427713.85,1881.0,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760427774.68,894.9,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760427835.37,918.9,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760427881.01,618.8,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760427949.34,2137.1,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760428083.29,831.6,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760428128.28,194.5,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760428149.55,577.9,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760428171.89,180.2,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760428192.92,319.2,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760428229.02,474.3,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760428275.54,460.4,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760428320.44,658.7,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760428370.45,710.9,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760428424.63,651.9,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760428487.79,622.5,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760428579.97,1303.1,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760428672.88,1004.9,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760428720.94,404.9,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760429178.99,131.8,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760429199.46,257.5,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760429228.3,873.8,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760429257.19,530.9,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760429302.02,407.3,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760429321.09,181.7,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760429353.78,370.7,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760429661.5,124.4,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760429689.13,332.1,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760429712.84,159.4,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760429736.88,350.9,0.0
ok,signal_response,EURDKK,SELL,0.95,0.05,1760429796.15,608.5,0.0
