,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,0.86353,0.86354,47.10771,-1e-05,0.0,0.0,0.0,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760427564.18,613.7,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760427617.07,1319.1,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760427656.94,716.5,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760427714.89,905.2,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760427775.84,927.9,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760427836.46,912.6,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760427881.67,497.8,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760427951.65,1986.3,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760428084.35,774.9,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760428128.68,372.1,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760428150.41,648.8,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760428172.12,189.5,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760428193.23,256.5,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760428229.6,498.9,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760428276.07,428.7,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760428321.05,550.5,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760428371.15,556.5,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760428425.25,535.5,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760428488.9,944.3,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760428581.87,1720.2,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760428674.34,1233.1,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760428721.31,326.6,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760429179.23,141.8,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760429199.81,324.7,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760429228.74,394.6,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760429257.59,340.6,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760429302.22,176.6,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760429321.32,191.3,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760429354.21,357.3,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760429661.66,142.5,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760429689.45,293.4,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760429713.04,176.1,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760429737.34,361.8,0.0
ok,signal_response,EURGBP,SELL,0.95,0.05,1760429796.91,675.3,0.0
