,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,9.0894,9.09902,36.01481,-0.00962,0.0,0.0,0.0,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760427565.08,777.9,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760427618.24,1008.7,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760427657.91,894.1,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760427715.62,605.0,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760427776.92,830.2,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760427837.5,898.1,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760427882.52,688.1,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760427954.07,2051.7,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760428086.29,1723.7,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760428128.88,184.3,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760428150.97,413.2,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760428172.37,218.2,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760428193.58,298.8,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760428230.14,468.9,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760428276.68,502.5,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760428321.73,566.2,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760428371.81,559.7,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760428425.98,612.9,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760428490.4,1313.5,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760428583.27,1165.5,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760428675.61,1177.1,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760428721.67,337.7,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760429179.47,136.7,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760429200.05,215.0,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760429229.02,244.0,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760429258.02,366.0,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760429302.48,213.5,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760429321.55,190.6,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760429354.56,308.6,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760429661.81,137.2,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760429689.84,374.9,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760429713.25,183.5,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760429737.69,284.1,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760429797.51,538.5,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760429855.91,597.7,0.0
ok,signal_response,EURHKD,SELL,0.95,0.05,1760429910.07,946.7,0.0
