,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,393.61033,393.92461,33.55331,-0.31427,0.0,0.0,0.0,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760427566.15,918.3,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760427619.45,1097.4,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760427658.85,783.9,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760427716.48,707.4,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760427777.77,762.6,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760427838.64,971.2,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760427883.58,773.2,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760427956.18,1851.5,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760428087.98,1296.0,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760428129.12,220.3,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760428151.48,392.0,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760428172.66,248.6,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760428194.02,330.4,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760428230.6,373.9,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760428277.23,456.7,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760428322.55,706.4,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760428372.46,562.3,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760428427.04,920.9,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760428491.47,865.2,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760428584.52,1090.0,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760428676.87,1118.0,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760428722.0,307.7,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760429179.73,127.3,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760429200.29,213.7,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760429229.28,230.9,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760429258.41,325.2,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760429302.69,166.2,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760429321.77,182.5,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760429354.91,295.1,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760429661.96,136.0,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760429690.44,574.8,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760429713.48,191.9,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760429738.05,320.3,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760429798.06,495.3,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760429856.48,469.8,0.0
ok,signal_response,EURHUF,BUY,0.95,0.95,1760429910.84,679.6,0.0
