,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,172.04171,172.1666,41.30186,-0.12489,0.0,0.0,0.0,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760427567.02,724.9,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760427620.34,769.8,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760427659.8,798.0,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760427717.27,606.7,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760427778.77,779.2,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760427839.8,1006.2,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760427884.64,842.6,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760427958.33,1848.9,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760428089.06,793.5,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760428129.43,273.2,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760428151.91,310.2,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760428172.94,232.4,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760428194.34,243.9,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760428231.11,482.4,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760428277.75,425.5,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760428323.22,522.0,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760428373.17,633.5,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760428427.87,721.3,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760428492.4,797.0,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760428585.63,963.6,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760428678.34,1290.7,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760428722.31,296.5,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760429179.98,127.4,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760429200.56,253.7,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760429229.58,277.6,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760429302.89,178.2,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760429322.02,203.1,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760429355.26,311.2,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760429662.1,121.9,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760429691.64,1113.1,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760429713.72,208.4,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760429738.52,410.4,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760429798.57,458.7,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760429857.08,526.6,0.0
ok,signal_response,EURJPY,BUY,0.95,0.95,1760429911.71,730.2,0.0
