,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,11.96344,11.9449,71.47786,0.01854,0.0,0.0,0.0,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760427567.79,661.7,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760427621.12,689.5,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760427660.64,708.2,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760427718.13,728.5,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760427779.9,917.7,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760427840.71,770.3,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760427885.77,901.2,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760427961.02,2272.3,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760428093.1,1530.0,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760428129.72,262.5,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760428152.32,292.1,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760428173.27,274.7,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760428194.75,323.6,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760428231.62,416.2,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760428278.41,536.0,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760428323.86,538.3,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760428373.88,602.9,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760428428.5,494.3,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760428493.52,926.1,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760428586.82,1029.6,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760428722.62,279.3,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760429180.27,197.2,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760429200.94,337.7,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760429229.99,357.3,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760429303.1,185.7,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760429322.23,183.4,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760429357.0,1670.3,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760429662.3,182.7,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760429692.73,1057.6,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760429713.95,191.7,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760429739.48,920.5,0.0
ok,signal_response,EURNOK,SELL,0.95,0.05,1760429799.11,418.3,0.0
