,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,1.97452,1.97299,61.61596,0.00154,0.0,0.0,0.0,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760427568.78,838.9,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760427621.97,729.5,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760427661.76,1006.7,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760427718.81,533.2,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760427780.75,687.3,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760427841.64,709.5,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760427886.65,718.9,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760427963.37,1977.5,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760428094.87,1279.0,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760428130.01,270.9,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760428152.67,258.2,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760428173.53,211.1,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760428195.33,517.0,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760428232.25,584.1,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760428279.06,526.2,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760428324.5,556.8,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760428374.62,646.4,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760428429.11,511.8,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760428494.38,649.6,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760428587.96,977.2,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760428722.92,269.8,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760429181.24,876.5,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760429201.23,269.8,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760429230.28,245.0,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760429303.34,212.8,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760429322.45,175.5,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760429359.0,1934.3,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760429662.51,190.7,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760429693.17,406.7,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760429714.16,169.6,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760429740.02,489.1,0.0
ok,signal_response,EURNZD,SELL,0.95,0.05,1760429799.56,396.2,0.0
