,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,4.24299,4.24438,45.35497,-0.00138,0.0,0.0,0.0,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760427569.58,630.2,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760427622.76,630.1,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760427662.66,726.9,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760427719.57,605.3,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760427781.57,674.3,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760427842.6,817.0,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760427887.94,1103.4,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760427966.24,2243.1,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760428096.34,1160.5,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760428130.26,213.3,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760428153.06,263.8,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760428173.78,205.0,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760428195.8,385.0,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760428232.93,578.7,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760428279.65,495.7,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760428325.15,545.4,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760428375.41,648.0,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760428429.86,597.3,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760428499.86,5331.6,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760428589.2,1023.7,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760428724.13,1178.5,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760429182.16,856.8,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760429201.47,225.8,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760429230.6,278.5,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760429303.57,194.5,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760429322.7,203.5,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760429360.19,1126.8,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760429662.73,209.1,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760429693.47,258.0,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760429714.95,767.3,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760429740.58,483.6,0.0
ok,signal_response,EURPLN,SELL,0.95,0.05,1760429800.25,612.8,0.0
