,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,11.17034,11.16459,62.8573,0.00574,0.0,0.0,0.0,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760427570.52,749.9,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760427623.49,637.8,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760427663.58,740.9,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760427720.35,643.0,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760427782.34,639.8,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760427843.46,705.6,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760427888.85,674.4,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760427967.47,862.4,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760428130.52,242.6,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760428153.46,369.1,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760428174.03,209.9,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760428196.19,325.3,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760428233.46,465.0,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760428280.32,524.2,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760428326.38,1145.9,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760428376.13,640.6,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760428430.66,667.3,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760428501.7,1484.6,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760428590.36,998.8,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760428724.56,400.8,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760429182.83,584.1,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760429201.72,224.1,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760429230.88,230.6,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760429303.81,206.9,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760429322.95,203.7,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760429360.68,450.6,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760429662.97,228.8,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760429693.79,276.1,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760429715.68,497.5,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760429741.33,691.4,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760429800.93,625.2,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760429860.0,515.7,0.0
ok,signal_response,EURSEK,SELL,0.95,0.05,1760429915.14,778.3,0.0
