,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,1.497,1.49749,44.06027,-0.00049,0.0,0.0,0.0,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760427571.38,728.9,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760427624.27,637.2,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760427664.28,531.5,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760427721.21,689.3,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760427783.22,759.5,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760427844.32,729.2,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760427890.16,1018.0,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760427968.54,865.8,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760428130.83,284.9,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760428153.8,230.1,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760428174.31,231.6,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760428196.63,378.5,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760428233.99,439.8,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760428280.92,416.1,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760428331.04,3128.4,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760428376.81,604.1,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760428431.43,536.5,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760428502.5,672.7,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760428594.76,4119.6,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760428724.94,354.6,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760429183.06,214.5,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760429201.97,222.2,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760429231.18,263.6,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760429304.04,189.5,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760429323.17,189.8,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760429361.18,454.6,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760429663.23,234.9,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760429694.1,284.1,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760429715.99,265.2,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760429741.83,417.5,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760429801.39,411.9,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760429860.6,532.7,0.0
ok,signal_response,EURSGD,SELL,0.95,0.05,1760429916.09,833.6,0.0
