,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,47.7864,47.77777,50.79447,0.00863,0.0,0.0,0.0,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760427572.21,597.6,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760427625.01,646.7,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760427665.01,582.7,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760427721.96,637.9,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760427784.24,882.9,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760427845.2,696.3,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760427891.47,1008.1,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760427970.09,1082.7,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760428131.07,212.5,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760428154.09,257.5,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760428174.58,224.1,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760428197.04,303.9,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760428234.46,399.9,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760428281.53,513.1,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760428332.02,644.3,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760428377.54,650.8,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760428432.13,498.3,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760428503.56,939.2,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760428596.02,1018.2,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760428725.28,305.0,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760429183.45,364.0,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760429202.22,218.2,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760429231.54,302.8,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760429304.29,213.2,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760429323.41,193.1,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760429361.63,398.3,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760429663.49,240.3,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760429694.35,229.7,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760429716.28,228.2,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760429742.72,816.0,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760429802.14,609.3,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760429861.31,637.7,0.0
ok,signal_response,EURTRY,SELL,0.95,0.05,1760429917.32,1121.0,0.0
