,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,20.58468,20.58016,51.95268,0.00452,0.0,0.0,0.0,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760427573.76,656.1,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760427626.71,678.6,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760427666.6,650.2,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760427723.67,649.4,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760427786.01,788.9,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760427847.02,867.0,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760427895.17,1131.4,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760427972.87,745.2,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760428131.61,287.4,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760428154.79,348.6,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760428175.13,206.4,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760428197.66,279.7,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760428235.45,411.5,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760428282.88,628.8,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760428333.2,517.4,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760428379.76,637.0,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760428433.78,1010.4,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760428505.58,914.1,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760428598.74,1086.4,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760428725.88,261.1,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760429183.93,249.8,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760429202.7,211.7,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760429232.17,278.3,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760429304.83,227.9,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760429323.94,224.4,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760429362.45,367.1,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760429664.05,258.0,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760429695.04,300.6,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760429716.83,252.6,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760429743.71,466.4,0.0
ok,signal_response,EURZAR,SELL,0.95,0.05,1760429804.81,845.6,0.0
