,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,2.08813,2.08587,65.18124,0.00227,0.0,0.0,0.0,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760427574.56,653.1,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760427627.43,565.4,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760427667.27,550.2,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760427724.5,685.0,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760427786.89,738.6,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760427847.8,614.1,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760427974.34,898.5,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760428131.88,237.7,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760428155.19,345.6,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760428175.4,224.3,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760428198.02,283.9,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760428236.03,518.8,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760428283.54,479.3,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760428333.83,520.4,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760428381.27,1403.6,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760428434.94,770.4,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760428506.57,742.7,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760428599.94,1016.3,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760428726.22,312.3,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760429184.18,224.7,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760429202.96,232.5,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760429232.47,259.9,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760429305.07,199.3,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760429324.23,262.4,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760429362.86,367.2,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760429664.31,241.5,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760429695.38,318.5,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760429717.16,273.6,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760429744.16,400.0,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760429805.87,996.2,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760429863.51,490.0,0.0
ok,signal_response,GBPAUD,SELL,0.95,0.05,1760429921.48,1055.0,0.0
