,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,1.86933,1.86845,58.49616,0.00089,0.0,0.0,0.0,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760427575.6,866.0,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760427628.2,679.7,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760427668.08,644.6,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760427725.28,665.8,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760427848.64,656.5,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760427975.93,1045.7,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760428132.14,247.9,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760428155.5,287.3,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760428175.65,217.3,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760428198.37,264.1,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760428236.63,530.9,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760428284.26,547.6,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760428334.56,624.0,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760428382.05,671.5,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760428435.58,487.5,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760428507.49,812.9,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760428601.16,1108.1,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760428726.58,334.8,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760429184.45,252.8,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760429203.23,233.3,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760429232.8,295.3,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760429305.31,211.2,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760429324.54,268.8,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760429363.37,450.2,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760429664.58,256.1,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760429695.67,261.7,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760429717.63,288.3,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760429744.48,279.8,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760429807.41,1452.8,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760429864.0,432.5,0.0
ok,signal_response,GBPCAD,SELL,0.95,0.05,1760429922.46,844.8,0.0
