,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,1.08892,1.08934,48.12275,-0.00042,0.0,0.0,0.0,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760427576.26,456.5,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760427628.93,655.8,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760427668.93,761.3,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760427726.22,803.7,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760427849.59,705.4,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760427978.02,1087.1,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760428132.39,212.9,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760428155.86,317.0,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760428175.96,260.4,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760428198.66,228.9,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760428237.16,460.4,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760428284.84,492.0,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760428335.17,524.0,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760428383.05,791.5,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760428436.36,688.5,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760428508.66,1043.8,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760428602.22,915.7,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760428726.94,331.0,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760429184.74,273.4,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760429203.49,230.8,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760429233.12,281.4,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760429305.56,211.8,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760429324.85,273.5,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760429664.87,269.9,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760429696.03,321.2,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760429718.0,267.1,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760429744.94,403.4,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760429808.23,742.5,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760429864.62,544.6,0.0
ok,signal_response,GBPCHF,SELL,0.95,0.05,1760429923.38,749.1,0.0
