,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,10.52439,10.53563,35.35465,-0.01124,0.0,0.0,0.0,0.0
ok,signal_response,GBPHKD,SELL,0.95,0.05,1760427576.91,479.5,0.0
ok,signal_response,GBPHKD,SELL,0.8827,0.1173,1760427629.6,546.5,0.0
ok,signal_response,GBPHKD,SELL,0.8803,0.1197,1760427669.81,774.9,0.0
ok,signal_response,GBPHKD,SELL,0.8803,0.1197,1760427726.94,606.3,0.0
ok,signal_response,GBPHKD,SELL,0.8887,0.1113,1760427850.57,720.0,0.0
ok,signal_response,GBPHKD,SELL,0.8887,0.1113,1760427979.94,1091.8,0.0
ok,signal_response,GBPHKD,SELL,0.8796,0.1204,1760428132.62,201.7,0.0
ok,signal_response,GBPHKD,SELL,0.8807,0.1193,1760428156.19,284.8,0.0
ok,signal_response,GBPHKD,SELL,0.8822,0.1178,1760428176.23,238.2,0.0
ok,signal_response,GBPHKD,SELL,0.8807,0.1193,1760428199.02,285.4,0.0
ok,signal_response,GBPHKD,SELL,0.8864,0.1136,1760428237.7,472.1,0.0
ok,signal_response,GBPHKD,SELL,0.8849,0.1151,1760428285.48,533.7,0.0
ok,signal_response,GBPHKD,SELL,0.8866,0.1134,1760428335.9,544.3,0.0
ok,signal_response,GBPHKD,SELL,0.8844,0.1156,1760428383.95,686.1,0.0
ok,signal_response,GBPHKD,SELL,0.8855,0.1145,1760428437.24,615.7,0.0
ok,signal_response,GBPHKD,SELL,0.8882,0.1118,1760428509.67,867.6,0.0
ok,signal_response,GBPHKD,SELL,0.879,0.121,1760428603.39,991.4,0.0
ok,signal_response,GBPHKD,SELL,0.8733,0.1267,1760428727.33,361.9,0.0
ok,signal_response,GBPHKD,SELL,0.9274,0.0726,1760429185.05,278.7,0.0
ok,signal_response,GBPHKD,SELL,0.9374,0.0626,1760429203.75,230.9,0.0
ok,signal_response,GBPHKD,SELL,0.9329,0.0671,1760429233.42,262.1,0.0
ok,signal_response,GBPHKD,SELL,0.9177,0.0823,1760429305.81,212.2,0.0
ok,signal_response,GBPHKD,SELL,0.9185,0.0815,1760429327.05,2140.6,0.0
ok,signal_response,GBPHKD,SELL,0.9171,0.0829,1760429665.1,213.8,0.0
ok,signal_response,GBPHKD,SELL,0.9381,0.0619,1760429696.47,403.2,0.0
ok,signal_response,GBPHKD,SELL,0.9455,0.0545,1760429718.63,422.9,0.0
ok,signal_response,GBPHKD,SELL,0.9416,0.0584,1760429745.5,495.7,0.0
ok,signal_response,GBPHKD,SELL,0.9374,0.0626,1760429808.95,633.4,0.0
ok,signal_response,GBPHKD,SELL,0.9272,0.0728,1760429865.11,417.1,0.0
ok,signal_response,GBPHKD,SELL,0.9397,0.0603,1760429924.25,750.6,0.0
