,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,199.19684,199.34526,42.42231,-0.14842,0.0,0.0,0.0,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760427577.73,696.7,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760427630.28,544.3,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760427670.84,836.4,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760427727.77,685.4,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760427851.59,935.6,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760427981.93,1065.1,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760428132.84,186.9,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760428156.5,268.4,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760428176.55,271.1,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760428199.42,354.0,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760428238.35,567.0,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760428286.07,516.4,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760428336.56,551.3,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760428384.73,622.1,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760428438.11,713.0,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760428510.61,754.5,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760428604.78,1236.8,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760428727.8,429.6,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760429185.32,250.3,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760429204.0,219.0,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760429233.7,250.4,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760429306.06,215.7,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760429329.37,1654.9,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760429665.33,212.6,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760429696.88,354.7,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760429719.13,343.8,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760429746.11,586.6,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760429809.38,358.9,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760429865.72,514.9,0.0
ok,signal_response,GBPJPY,BUY,0.95,0.95,1760429924.97,618.5,0.0
