,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,2.28609,2.28437,61.68834,0.00172,0.0,0.0,0.0,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760427578.63,689.1,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760427631.06,658.8,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760427728.64,751.7,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760427852.45,707.7,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760427984.28,1129.3,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760428133.07,196.5,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760428156.75,201.4,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760428176.86,253.5,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760428199.74,269.9,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760428238.92,481.6,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760428286.77,613.8,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760428337.07,441.1,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760428385.57,606.8,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760428439.1,837.9,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760428511.81,919.0,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760428605.98,1058.9,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760428705.28,253.5,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760428728.21,377.3,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760429185.56,215.5,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760429204.29,253.5,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760429234.01,269.1,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760429306.3,206.5,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760429329.91,426.4,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760429665.56,210.9,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760429697.36,461.3,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760429719.51,328.1,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760429746.79,627.5,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760429810.8,1340.4,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760429866.22,403.1,0.0
ok,signal_response,GBPNZD,SELL,0.95,0.05,1760429925.69,579.6,0.0
