,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,4.9117,4.91348,47.72786,-0.00177,0.0,0.0,0.0,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760427579.4,597.9,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760427631.87,664.3,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760427729.6,817.6,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760427853.37,726.7,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760427986.22,1003.2,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760428119.66,221.9,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760428133.35,256.1,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760428156.98,197.5,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760428177.15,229.2,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760428200.12,284.1,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760428239.45,471.7,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760428287.48,605.3,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760428337.73,581.0,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760428386.51,776.1,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760428439.93,660.3,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760428512.96,1012.2,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760428607.16,981.7,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760428705.45,107.6,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760428728.6,354.4,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760429185.85,261.0,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760429204.53,212.7,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760429234.29,231.3,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760429306.53,197.8,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760429330.35,382.2,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760429653.11,187.6,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760429665.78,207.2,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760429697.87,457.5,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760429720.08,393.6,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760429747.34,510.5,0.0
ok,signal_response,GBPPLN,SELL,0.95,0.05,1760429812.92,1956.7,0.0
