,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,1.73316,1.73376,45.67088,-0.0006,0.0,0.0,0.0,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760427580.03,515.8,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760427632.67,667.1,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760427730.6,848.4,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760427854.53,959.7,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760427987.98,1057.6,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760428119.79,119.0,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760428133.63,247.2,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760428157.24,227.2,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760428177.43,235.4,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760428200.63,431.8,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760428240.32,744.4,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760428288.16,617.5,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760428338.49,613.1,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760428387.31,630.6,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760428440.81,671.8,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760428513.83,685.2,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760428608.43,1141.0,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760428705.6,142.8,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760428729.01,376.9,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760429186.14,265.6,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760429204.79,229.4,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760429234.61,267.6,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760429306.76,193.7,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760429330.73,325.6,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760429653.24,85.8,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760429666.01,210.0,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760429698.31,405.6,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760429720.55,419.0,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760429748.02,635.5,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760429813.55,554.4,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760429867.27,497.0,0.0
ok,signal_response,GBPSGD,SELL,0.95,0.05,1760429927.17,565.5,0.0
