,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,23.83596,23.83017,55.39344,0.00578,0.0,0.0,0.0,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760427581.57,646.6,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760427732.4,779.9,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760427990.91,1049.4,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760428120.05,103.2,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760428134.36,380.6,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760428157.84,309.0,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760428178.05,264.1,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760428201.44,314.4,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760428241.61,481.9,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760428289.44,524.8,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760428339.88,629.8,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760428388.75,630.6,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760428442.6,772.6,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760428517.64,945.5,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760428611.08,928.3,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760428705.88,135.3,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760428729.67,272.2,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760429186.66,247.3,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760429205.29,237.4,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760429235.24,256.7,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760429292.58,94.1,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760429307.18,204.3,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760429331.34,233.5,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760429653.61,94.2,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760429666.46,206.1,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760429699.29,466.5,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760429721.52,335.7,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760429748.99,536.8,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760429817.12,1612.0,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760429868.51,514.5,0.0
ok,signal_response,GBPZAR,SELL,0.95,0.05,1760429928.8,702.5,0.0
