,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,18.92415,18.91867,52.35163,0.00549,0.0,0.0,0.0,0.0
ok,signal_response,HKDJPY,SELL,0.9334,0.0666,1760427582.43,700.2,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760427733.2,645.8,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760427992.5,1144.3,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760428120.19,130.6,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760428135.06,645.9,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760428158.29,396.4,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760428178.33,251.4,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760428201.8,287.3,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760428242.22,528.1,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760428290.08,528.6,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760428340.44,464.7,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760428389.66,736.6,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760428443.79,878.5,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760428518.7,873.7,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760428612.15,933.5,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760428706.03,127.8,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760428730.05,356.4,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760429186.93,250.3,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760429205.54,229.6,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760429235.54,248.4,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760429292.68,85.4,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760429307.41,194.9,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760429331.65,260.7,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760429653.8,101.7,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760429666.66,190.7,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760429699.77,445.5,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760429721.9,316.7,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760429750.17,1123.0,0.0
ok,signal_response,HKDJPY,SELL,0.95,0.05,1760429819.66,2336.8,0.0
