,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,0.81737,0.81762,45.03414,-0.00025,0.0,0.0,0.0,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760427583.2,692.3,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760427733.94,584.4,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760427994.33,1192.3,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760428120.34,138.0,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760428135.54,371.6,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760428158.68,346.2,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760428178.6,207.6,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760428202.15,282.7,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760428242.75,454.6,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760428290.85,598.7,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760428341.03,491.3,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760428390.89,1046.2,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760428444.67,769.2,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760428519.58,768.6,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760428613.45,1123.2,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760428706.17,128.6,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760428730.4,311.5,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760429187.2,234.8,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760429205.84,255.1,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760429235.83,249.0,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760429292.8,118.6,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760429307.64,201.7,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760429331.95,252.1,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760429653.99,115.7,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760429666.93,240.6,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760429700.21,404.4,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760429722.24,298.9,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760429752.5,2017.5,0.0
ok,signal_response,NZDCAD,SELL,0.95,0.05,1760429820.29,516.2,0.0
