,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,0.47612,0.47666,39.36919,-0.00055,0.0,0.0,0.0,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760427583.92,627.5,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760427734.73,671.8,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760427996.15,968.6,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760428120.5,150.8,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760428136.01,435.6,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760428159.06,357.0,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760428178.84,217.5,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760428202.46,233.4,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760428243.33,471.7,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760428291.49,463.2,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760428341.73,616.1,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760428391.53,545.4,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760428445.85,1003.4,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760428520.73,973.4,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760428618.82,3973.4,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760428706.3,116.9,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760428730.74,323.7,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760429187.47,249.2,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760429206.09,215.8,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760429236.16,286.7,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760429292.92,100.5,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760429307.87,196.3,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760429332.3,311.2,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760429654.18,100.9,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760429667.18,239.1,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760429700.62,350.1,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760429722.75,453.6,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760429755.59,2699.7,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760429820.81,478.2,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760429870.01,390.7,0.0
ok,signal_response,NZDCHF,SELL,0.95,0.05,1760429930.56,392.3,0.0
