,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,4.60188,4.61045,34.05398,-0.00858,0.0,0.0,0.0,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760427584.65,633.4,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760427735.71,864.2,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760427997.88,825.1,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760428120.66,143.3,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760428136.3,261.0,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760428159.48,369.1,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760428179.1,204.8,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760428202.75,237.1,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760428243.91,483.6,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760428292.24,590.8,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760428342.56,683.8,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760428392.22,613.1,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760428447.4,1265.8,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760428521.86,996.4,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760428619.81,824.9,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760428706.43,122.1,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760428731.11,330.9,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760429187.81,312.1,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760429206.34,219.4,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760429236.46,273.8,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760429293.04,116.7,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760429308.11,194.6,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760429332.64,289.5,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760429654.4,105.0,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760429667.65,437.6,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760429701.07,412.2,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760429723.08,279.4,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760429756.21,448.4,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760429821.56,692.9,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760429870.47,386.6,0.0
ok,signal_response,NZDHKD,SELL,0.95,0.05,1760429931.18,521.8,0.0
