,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,87.09839,87.23257,35.08276,-0.13418,0.0,0.0,0.0,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760427585.42,660.1,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760427736.76,769.5,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760427999.94,982.1,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760428120.82,146.3,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760428136.59,258.1,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760428159.88,343.9,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760428179.5,348.5,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760428203.1,268.8,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760428244.53,507.0,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760428292.8,406.1,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760428343.31,648.2,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760428392.83,507.3,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760428448.61,668.8,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760428522.7,721.2,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760428621.18,1192.7,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760428706.57,126.3,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760428731.52,380.5,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760429188.13,302.5,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760429206.63,258.2,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760429236.75,260.6,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760429293.17,113.7,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760429308.36,212.4,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760429333.07,392.5,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760429654.61,112.7,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760429668.24,571.4,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760429701.45,344.4,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760429723.38,250.8,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760429757.3,967.1,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760429822.32,697.4,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760429870.92,371.1,0.0
ok,signal_response,NZDJPY,BUY,0.95,0.95,1760429931.78,567.8,0.0
