,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,0.75797,0.75888,28.78211,-0.00091,0.0,0.0,0.0,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760427586.41,871.4,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760427737.57,640.4,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760428001.68,825.8,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760428120.97,136.4,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760428137.02,404.0,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760428160.11,199.4,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760428179.91,354.6,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760428203.42,279.5,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760428245.14,531.9,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760428293.34,374.2,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760428344.01,585.3,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760428393.45,542.4,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760428450.23,998.9,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760428523.54,706.0,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760428622.91,1609.5,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760428706.71,129.0,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760428731.9,347.1,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760429188.48,332.0,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760429207.35,684.9,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760429237.14,332.0,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760429293.29,111.0,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760429308.62,214.0,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760429333.54,413.5,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760429654.88,100.8,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760429668.56,301.1,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760429701.7,228.5,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760429723.69,288.8,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760429758.46,990.4,0.0
ok,signal_response,NZDSGD,SELL,0.95,0.05,1760429823.06,655.0,0.0
