,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,0.59004,0.59085,34.04942,-0.00081,0.0,0.0,0.0,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760427587.19,663.7,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760427738.63,871.9,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760428002.93,770.5,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760428121.13,148.1,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760428137.35,292.7,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760428160.37,215.2,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760428180.36,396.4,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760428203.8,323.6,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760428245.78,553.9,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760428294.06,494.0,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760428344.58,461.4,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760428394.2,652.6,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760428451.34,916.5,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760428524.63,893.3,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760428623.84,759.4,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760428706.86,127.6,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760428732.34,397.9,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760429188.86,274.3,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760429207.68,298.9,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760429237.54,347.3,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760429293.44,135.6,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760429308.9,237.3,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760429333.92,343.2,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760429654.99,102.3,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760429668.84,269.1,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760429701.98,243.9,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760429724.02,266.8,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760429759.28,539.6,0.0
ok,signal_response,NZDUSD,SELL,0.95,0.05,1760429823.6,481.6,0.0
