,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,0.62813,0.62818,51.02764,-5e-05,0.0,0.0,0.0,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760427587.91,599.8,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760427739.45,732.8,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760428004.39,973.0,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760428121.29,149.2,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760428137.66,290.8,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760428160.64,227.0,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760428180.8,362.8,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760428204.17,297.4,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760428246.41,520.2,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760428294.81,546.1,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760428345.17,515.9,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760428395.25,860.1,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760428452.24,669.5,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760428525.64,746.1,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760428624.97,962.7,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760428707.0,127.3,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760428732.7,324.0,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760429189.11,231.1,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760429208.01,301.5,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760429237.92,325.8,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760429293.59,130.4,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760429309.18,245.1,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760429334.34,392.5,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760429655.11,95.8,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760429669.06,197.0,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760429702.23,197.5,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760429724.37,299.0,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760429760.49,1004.5,0.0
ok,signal_response,SGDCHF,SELL,0.95,0.05,1760429824.21,543.8,0.0
