,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,114.8797,114.9348,41.77735,-0.0551,0.0,0.0,0.0,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760427588.65,634.0,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760427740.57,984.4,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760428006.28,1277.3,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760428121.46,157.9,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760428137.96,268.8,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760428160.93,259.1,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760428181.1,244.9,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760428204.67,424.0,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760428247.03,536.6,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760428295.54,505.2,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760428345.83,560.8,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760428396.1,707.0,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760428453.08,626.4,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760428526.53,773.3,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760428626.28,1147.6,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760428707.15,133.1,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760428733.05,321.1,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760429189.41,282.4,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760429208.3,261.7,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760429238.32,348.7,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760429293.73,125.7,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760429309.63,355.8,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760429334.71,314.0,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760429655.22,107.6,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760429669.33,245.4,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760429702.57,297.7,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760429724.7,279.1,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760429761.49,886.4,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760429824.81,534.8,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760429873.13,464.5,0.0
ok,signal_response,SGDJPY,BUY,0.95,0.95,1760429934.13,603.0,0.0
