,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,3.60247,3.60054,51.76762,0.00193,0.0,0.0,0.0,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760427589.43,643.3,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760427741.62,963.7,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760428007.7,915.0,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760428121.62,145.5,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760428138.27,272.3,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760428161.23,244.1,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760428181.37,230.4,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760428205.64,898.5,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760428247.66,528.8,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760428296.14,432.4,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760428346.58,641.4,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760428396.82,593.2,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760428453.92,641.2,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760428527.46,825.3,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760428627.25,794.8,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760428707.29,132.7,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760428733.37,288.6,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760429189.93,485.7,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760429208.67,327.0,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760429238.65,272.1,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760429294.41,665.0,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760429310.35,451.3,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760429335.02,272.7,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760429655.34,108.4,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760429669.6,246.4,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760429702.83,236.2,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760429724.94,208.3,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760429762.61,1078.4,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760429825.29,414.0,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760429873.69,478.5,0.0
ok,signal_response,TRYJPY,SELL,0.95,0.05,1760429935.26,1041.0,0.0
