,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,1.38542,1.38392,69.32995,0.0015,0.0,0.0,0.0,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760427590.16,603.3,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760427742.55,840.4,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760428009.22,1036.8,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760428121.79,150.2,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760428138.55,249.7,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760428161.52,223.6,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760428181.67,248.6,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760428206.25,560.2,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760428248.44,687.4,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760428296.73,450.3,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760428347.23,582.3,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760428397.51,556.1,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760428455.03,949.2,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760428528.49,882.7,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760428628.16,775.4,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760428707.47,151.0,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760428733.69,297.4,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760429190.22,264.4,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760429208.95,255.6,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760429239.0,294.8,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760429294.65,155.6,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760429312.0,1176.7,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760429335.41,338.5,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760429655.47,113.3,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760429669.87,249.9,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760429703.13,256.0,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760429725.27,280.3,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760429763.4,694.1,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760429825.81,425.3,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760429874.23,471.2,0.0
ok,signal_response,USDCAD,SELL,0.95,0.05,1760429936.2,822.2,0.0
