,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,0.807,0.80682,56.58529,0.00019,0.0,0.0,0.0,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760427590.9,626.1,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760427743.59,945.6,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760428011.08,1343.6,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760428121.95,146.2,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760428138.87,295.6,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760428161.78,235.5,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760428181.97,256.2,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760428206.81,514.1,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760428249.07,539.6,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760428297.33,426.9,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760428347.94,592.7,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760428398.29,682.7,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760428456.1,873.8,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760428530.6,1932.7,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760428629.39,1040.4,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760428707.66,179.5,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760428734.09,373.6,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760429190.55,318.8,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760429209.36,378.6,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760429239.4,354.2,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760429295.05,132.8,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760429312.54,351.1,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760429335.73,282.9,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760429655.59,110.1,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760429670.17,279.2,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760429703.44,245.2,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760429725.56,220.1,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760429764.14,650.2,0.0
ok,signal_response,USDCHF,SELL,0.95,0.05,1760429826.44,528.9,0.0
