,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,7.18647,7.1859,56.5484,0.00056,0.0,0.0,0.0,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760427591.61,589.5,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760427744.58,864.5,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760428015.34,2938.5,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760428122.11,151.9,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760428139.18,271.6,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760428162.06,246.8,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760428182.26,259.5,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760428207.78,879.4,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760428249.73,606.7,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760428297.93,444.0,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760428348.63,574.6,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760428399.14,716.3,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760428456.93,707.9,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760428533.09,2196.1,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760428631.11,1536.9,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760428707.85,166.6,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760428734.51,380.0,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760429190.88,303.2,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760429209.77,298.0,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760429239.79,315.4,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760429295.22,150.1,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760429312.84,245.4,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760429336.09,330.7,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760429655.71,108.3,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760429670.57,310.6,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760429703.72,228.8,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760429725.82,234.3,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760429765.06,873.9,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760429827.07,553.7,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760429875.46,663.7,0.0
ok,signal_response,USDCNH,SELL,0.95,0.05,1760429937.47,596.5,0.0
