,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,20.98078,20.9705,62.00914,0.01028,0.0,0.0,0.0,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760427592.35,640.6,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760427745.7,993.3,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760428017.35,1305.6,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760428122.28,148.5,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760428139.5,278.5,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760428162.35,257.0,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760428182.54,218.8,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760428208.73,903.9,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760428250.34,516.0,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760428298.56,530.0,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760428349.27,561.9,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760428399.94,669.1,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760428457.68,605.8,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760428533.97,715.9,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760428632.42,1007.9,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760428708.04,179.6,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760428734.85,315.5,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760429191.2,298.1,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760429210.11,308.6,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760429240.19,360.8,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760429295.39,137.5,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760429313.14,239.3,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760429336.49,355.1,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760429655.83,110.8,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760429670.86,264.3,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760429703.99,215.7,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760429726.13,284.5,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760429766.03,925.7,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760429830.73,3318.7,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760429876.29,753.7,0.0
ok,signal_response,USDCZK,SELL,0.95,0.05,1760429938.1,557.5,0.0
