,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,6.40371,6.39993,61.0172,0.00378,0.0,0.0,0.0,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760427593.16,664.7,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760428018.74,1119.3,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760428122.44,151.5,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760428139.81,269.1,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760428162.64,248.3,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760428182.8,222.2,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760428209.37,566.6,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760428251.06,626.8,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760428299.18,542.8,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760428349.93,564.9,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760428400.69,523.6,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760428458.37,551.5,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760428534.82,688.8,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760428633.89,1128.5,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760428708.24,175.0,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760428735.21,325.7,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760429191.52,292.6,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760429210.5,338.5,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760429240.59,370.6,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760429295.58,153.2,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760429313.48,290.4,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760429336.9,376.3,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760429655.95,107.6,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760429671.12,235.4,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760429704.27,244.8,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760429726.45,270.0,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760429767.08,983.8,0.0
ok,signal_response,USDDKK,SELL,0.95,0.05,1760429831.29,519.6,0.0
