,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,7.79962,7.80313,34.8516,-0.00351,0.0,0.0,0.0,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760427593.89,603.5,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760428019.99,913.0,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760428122.61,147.7,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760428140.13,290.7,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760428162.89,213.3,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760428183.12,259.4,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760428210.21,740.2,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760428251.61,475.7,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760428299.75,474.0,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760428350.64,581.1,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760428401.53,700.3,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760428459.88,1027.3,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760428535.68,675.8,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760428635.14,1010.6,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760428708.43,175.6,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760428735.63,392.6,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760429191.81,266.6,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760429210.82,288.3,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760429241.02,365.7,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760429295.78,168.9,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760429313.73,219.3,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760429337.39,419.3,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760429656.07,107.6,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760429671.35,209.8,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760429704.57,265.6,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760429726.83,306.1,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760429768.75,1615.7,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760429831.81,435.2,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760429877.54,479.1,0.0
ok,signal_response,USDHKD,SELL,0.95,0.05,1760429939.16,471.0,0.0
