,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,337.70178,337.76862,49.64523,-0.06683,0.0,0.0,0.0,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760427594.52,484.1,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760428021.8,1422.8,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760428122.77,152.7,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760428140.39,229.7,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760428163.16,223.9,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760428183.39,236.4,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760428210.8,502.8,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760428252.36,641.5,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760428300.34,474.8,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760428351.36,554.0,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760428402.37,685.7,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760428460.77,688.6,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760428536.71,887.2,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760428636.1,848.6,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760428708.64,193.0,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760428736.0,331.5,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760429192.06,225.8,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760429211.13,285.6,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760429241.43,375.1,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760429295.97,165.1,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760429313.99,225.3,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760429337.78,362.9,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760429656.19,107.6,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760429671.58,207.0,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760429704.84,230.3,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760429727.14,250.2,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760429770.11,1295.4,0.0
ok,signal_response,USDHUF,BUY,0.95,0.95,1760429832.47,592.7,0.0
