,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,18.80794,18.80083,53.37924,0.00711,0.0,0.0,0.0,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760427595.95,571.4,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760428024.52,1140.4,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760428123.11,156.1,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760428141.0,247.2,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760428163.68,192.7,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760428183.99,231.8,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760428211.67,337.1,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760428253.62,573.3,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760428301.39,421.0,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760428352.58,459.8,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760428404.17,753.7,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760428462.49,754.3,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760428538.32,620.7,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760428638.64,1168.2,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760428709.05,172.0,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760428736.67,315.4,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760429192.54,213.8,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760429211.82,292.2,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760429242.25,366.7,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760429296.38,137.0,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760429314.58,239.4,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760429338.56,341.3,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760429656.43,112.0,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760429672.27,335.0,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760429705.35,224.5,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760429727.72,258.3,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760429772.01,652.8,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760429833.47,392.7,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760429879.0,416.5,0.0
ok,signal_response,USDMXN,SELL,0.95,0.05,1760429940.97,461.8,0.0
