,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,10.26031,10.239,71.64526,0.02131,0.0,0.0,0.0,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760427596.67,615.8,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760428026.25,1404.2,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760428123.28,150.0,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760428141.25,226.3,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760428163.93,202.7,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760428184.32,275.4,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760428212.28,528.9,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760428254.21,491.4,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760428301.9,443.3,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760428353.08,431.2,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760428404.89,562.4,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760428463.45,730.2,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760428539.14,672.4,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760428642.05,3308.9,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760428709.26,188.0,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760428737.05,344.8,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760429192.82,261.1,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760429212.19,332.3,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760429242.63,335.0,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760429296.53,125.2,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760429314.88,248.0,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760429338.96,354.5,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760429656.55,111.3,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760429673.04,616.5,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760429705.65,255.6,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760429728.08,308.5,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760429773.2,1148.1,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760429834.03,503.0,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760429879.55,476.5,0.0
ok,signal_response,USDNOK,SELL,0.95,0.05,1760429941.61,534.8,0.0
