,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,3.64018,3.63928,58.55951,0.0009,0.0,0.0,0.0,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760427597.43,646.1,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760428030.41,3858.0,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760428123.45,160.8,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760428141.54,263.4,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760428164.18,218.6,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760428184.65,268.1,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760428213.22,877.9,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760428255.02,729.1,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760428302.54,535.0,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760428353.72,548.2,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760428405.59,609.7,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760428464.38,732.7,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760428540.19,941.6,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760428643.22,1044.2,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760428709.47,196.7,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760428737.44,353.4,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760429193.05,200.4,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760429212.51,293.2,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760429243.91,1201.2,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760429296.67,127.2,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760429315.12,207.2,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760429339.43,412.3,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760429656.67,108.3,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760429673.44,375.9,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760429705.9,228.1,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760429728.39,250.6,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760429774.28,1018.6,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760429834.6,472.0,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760429880.04,427.6,0.0
ok,signal_response,USDPLN,SELL,0.95,0.05,1760429942.15,452.0,0.0
