,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,9.58229,9.57189,67.96577,0.0104,0.0,0.0,0.0,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760427598.2,611.7,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760428031.74,1041.2,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760428123.62,146.6,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760428141.8,232.1,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760428164.55,323.8,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760428184.99,273.7,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760428214.02,718.3,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760428255.97,801.8,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760428303.24,570.2,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760428354.39,570.5,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760428406.21,539.0,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760428465.23,650.6,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760428541.54,1055.2,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760428644.47,1045.1,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760428709.68,190.6,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760428737.74,275.6,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760429193.27,204.8,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760429212.81,270.0,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760429247.04,1686.1,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760429296.8,111.2,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760429315.36,205.9,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760429343.19,3671.3,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760429656.8,111.8,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760429673.79,328.9,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760429706.16,223.9,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760429728.65,196.6,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760429775.34,982.9,0.0
ok,signal_response,USDSEK,SELL,0.95,0.05,1760429835.28,597.4,0.0
