,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,1.28429,1.284,52.84575,0.00029,0.0,0.0,0.0,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760427598.9,542.0,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760428035.08,3018.2,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760428123.79,155.9,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760428142.04,207.9,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760428164.99,359.0,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760428185.32,272.6,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760428214.63,535.2,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760428256.87,737.9,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760428303.83,486.4,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760428355.11,569.2,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760428407.24,908.6,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760428466.1,653.0,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760428542.69,967.3,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760428645.78,1133.7,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760428709.89,184.9,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760428738.12,341.1,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760429193.5,211.6,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760429213.18,313.0,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760429247.4,314.4,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760429296.95,131.2,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760429315.62,215.0,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760429344.16,623.4,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760429656.91,106.9,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760429674.29,421.9,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760429706.44,242.0,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760429728.89,203.3,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760429776.45,1032.4,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760429835.83,467.1,0.0
ok,signal_response,USDSGD,SELL,0.95,0.05,1760429881.16,470.9,0.0
