,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,32.55242,32.52929,59.23818,0.02312,0.0,0.0,0.0,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760427599.52,506.8,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760428042.47,6306.0,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760428123.95,144.4,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760428142.3,225.7,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760428165.41,366.9,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760428185.68,289.2,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760428215.41,703.6,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760428257.47,518.4,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760428304.37,447.5,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760428355.74,512.1,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760428408.16,776.4,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760428467.19,941.1,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760428546.11,3250.5,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760428646.76,846.3,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760428710.11,189.6,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760428738.5,350.2,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760429193.73,215.5,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760429213.51,286.7,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760429247.82,354.3,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760429297.1,130.6,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760429315.86,204.4,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760429344.56,347.8,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760429657.05,124.2,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760429675.79,1472.3,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760429706.67,200.1,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760429729.18,254.3,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760429777.65,1156.9,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760429836.35,450.4,0.0
ok,signal_response,USDTHB,SELL,0.95,0.05,1760429881.78,529.3,0.0
