,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,40.88816,40.87601,62.11179,0.01215,0.0,0.0,0.0,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760427600.23,571.0,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760428043.94,1224.0,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760428124.13,168.5,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760428142.56,229.0,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760428165.74,282.9,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760428186.01,258.4,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760428216.06,580.3,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760428258.11,563.6,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760428304.94,445.4,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760428356.37,550.0,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760428408.88,595.5,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760428468.0,666.9,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760428550.35,2947.3,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760428647.79,927.5,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760428710.31,182.4,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760428738.87,324.6,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760429193.99,221.6,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760429213.8,258.9,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760429248.23,351.3,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760429297.25,139.9,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760429316.1,198.0,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760429344.89,305.6,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760429657.19,122.8,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760429676.58,770.2,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760429706.95,252.7,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760429729.46,244.5,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760429779.12,1427.9,0.0
ok,signal_response,USDTRY,SELL,0.95,0.05,1760429836.87,424.6,0.0
