,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,17.66401,17.6479,63.16174,0.01611,0.0,0.0,0.0,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760427601.16,796.1,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760428046.12,1634.0,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760428124.31,151.7,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760428142.89,301.8,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760428166.09,305.4,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760428186.32,263.3,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760428216.62,454.3,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760428258.69,516.4,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760428305.5,469.7,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760428356.94,451.9,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760428409.75,796.4,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760428468.82,699.1,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760428552.04,1532.1,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760428649.24,1269.1,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760428710.64,301.5,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760428739.24,322.0,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760429194.24,231.6,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760429214.14,307.1,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760429248.69,407.7,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760429297.41,143.0,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760429316.37,231.3,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760429345.3,372.6,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760429657.31,109.2,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760429676.81,213.4,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760429707.35,358.8,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760429729.74,241.4,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760429780.21,990.9,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760429837.62,657.2,0.0
ok,signal_response,USDZAR,SELL,0.95,0.05,1760429882.73,440.1,0.0
